investor_id,age_range,income_range,net_worth_range,investment_history_overall_2021_2025,investment_options,investment_history_per_investment
1,26-35,5k-10k,50k-200k,"2021=12000;2022=13500;2023=15000;2024=16500;2025=18000","Ações;Tesouro Direto","Ações:2021=6000;2022=7000;2023=8000;2024=9000;2025=10000|Tesouro Direto:2021=6000;2022=6500;2023=7000;2024=7500;2025=8000"
2,36-45,10k-20k,200k-1M,"2021=50000;2022=52000;2023=58000;2024=61000;2025=65000","Fundos Imobiliários;Renda Fixa;Ações","Fundos Imobiliários:2021=20000;2022=21000;2023=23000;2024=24000;2025=26000|Renda Fixa:2021=15000;2022=15500;2023=16000;2024=16500;2025=17000|Ações:2021=15000;2022=15500;2023=19000;2024=20500;2025=22000"
3,46-55,20k-50k,1M-5M,"2021=300000;2022=320000;2023=340000;2024=360000;2025=380000","Ações;Fundos Imobiliários;Previdência","Ações:2021=150000;2022=160000;2023=170000;2024=180000;2025=190000|Fundos Imobiliários:2021=80000;2022=85000;2023=90000;2024=95000;2025=100000|Previdência:2021=70000;2022=75000;2023=80000;2024=85000;2025=90000"
4,18-25,<2k,<50k,"2021=2000;2022=2500;2023=3000;2024=3500;2025=4200","Tesouro Direto;Cripto","Tesouro Direto:2021=1500;2022=1700;2023=1900;2024=2100;2025=2400|Cripto:2021=500;2022=800;2023=1100;2024=1400;2025=1800"
5,56-65,10k-20k,200k-1M,"2021=90000;2022=92000;2023=94000;2024=96000;2025=98000","Renda Fixa;Previdência","Renda Fixa:2021=50000;2022=51000;2023=52000;2024=53000;2025=54000|Previdência:2021=40000;2022=41000;2023=42000;2024=43000;2025=44000"
6,36-45,5k-10k,50k-200k,"2021=18000;2022=20000;2023=22000;2024=24000;2025=26000","Ações;Tesouro Direto;Cripto","Ações:2021=8000;2022=9000;2023=10000;2024=11000;2025=12000|Tesouro Direto:2021=7000;2022=7500;2023=8000;2024=8500;2025=9000|Cripto:2021=3000;2022=3500;2023=4000;2024=4500;2025=5000"
7,46-55,20k-50k,200k-1M,"2021=120000;2022=125000;2023=130000;2024=135000;2025=140000","Fundos Imobiliários;Renda Fixa","Fundos Imobiliários:2021=60000;2022=62000;2023=64000;2024=66000;2025=68000|Renda Fixa:2021=60000;2022=63000;2023=66000;2024=69000;2025=72000"
8,26-35,2k-5k,50k-200k,"2021=8000;2022=9000;2023=10000;2024=11500;2025=13000","Tesouro Direto;Ações","Tesouro Direto:2021=4000;2022=4500;2023=5000;2024=6000;2025=7000|Ações:2021=4000;2022=4500;2023=5000;2024=5500;2025=6000"
9,65+,10k-20k,1M-5M,"2021=250000;2022=255000;2023=260000;2024=265000;2025=270000","Renda Fixa;Previdência","Renda Fixa:2021=150000;2022=152000;2023=154000;2024=156000;2025=158000|Previdência:2021=100000;2022=103000;2023=106000;2024=109000;2025=112000"
10,36-45,50k+,1M-5M,"2021=800000;2022=820000;2023=850000;2024=880000;2025=920000","Ações;Fundos Imobiliários;Renda Fixa;Cripto","Ações:2021=400000;2022=420000;2023=450000;2024=480000;2025=520000|Fundos Imobiliários:2021=200000;2022=205000;2023=210000;2024=215000;2025=220000|Renda Fixa:2021=150000;2022=155000;2023=160000;2024=165000;2025=170000|Cripto:2021=50000;2022=40000;2023=30000;2024=20000;2025=10000"
11,26-35,5k-10k,50k-200k,"2021=15000;2022=16000;2023=17500;2024=19000;2025=20500","Ações;Fundos Imobiliários","Ações:2021=8000;2022=9000;2023=10000;2024=11000;2025=12000|Fundos Imobiliários:2021=7000;2022=7000;2023=7500;2024=8000;2025=8500"
12,46-55,10k-20k,200k-1M,"2021=70000;2022=73000;2023=76000;2024=79000;2025=82000","Renda Fixa;Tesouro Direto","Renda Fixa:2021=40000;2022=41000;2023=42000;2024=43000;2025=44000|Tesouro Direto:2021=30000;2022=32000;2023=34000;2024=36000;2025=38000"
13,56-65,20k-50k,1M-5M,"2021=180000;2022=185000;2023=190000;2024=195000;2025=200000","Previdência;Renda Fixa","Previdência:2021=100000;2022=102000;2023=104000;2024=106000;2025=108000|Renda Fixa:2021=80000;2022=83000;2023=86000;2024=89000;2025=92000"
14,18-25,2k-5k,<50k,"2021=5000;2022=6500;2023=8000;2024=10000;2025=12500","Cripto;Ações","Cripto:2021=2000;2022=3000;2023=4000;2024=6000;2025=9000|Ações:2021=3000;2022=3500;2023=4000;2024=4000;2025=3500"
15,36-45,10k-20k,200k-1M,"2021=60000;2022=62000;2023=65000;2024=68000;2025=71000","Ações;Tesouro Direto;Fundos Imobiliários","Ações:2021=30000;2022=32000;2023=35000;2024=38000;2025=41000|Tesouro Direto:2021=20000;2022=20500;2023=21000;2024=21500;2025=22000|Fundos Imobiliários:2021=10000;2022=9500;2023=9000;2024=8500;2025=8000"
16,46-55,5k-10k,50k-200k,"2021=22000;2022=23000;2023=24000;2024=25000;2025=26000","Renda Fixa;Tesouro Direto","Renda Fixa:2021=12000;2022=12500;2023=13000;2024=13500;2025=14000|Tesouro Direto:2021=10000;2022=10500;2023=11000;2024=11500;2025=12000"
17,26-35,20k-50k,200k-1M,"2021=90000;2022=95000;2023=100000;2024=110000;2025=120000","Ações;Fundos Imobiliários;Cripto","Ações:2021=50000;2022=53000;2023=56000;2024=62000;2025=70000|Fundos Imobiliários:2021=30000;2022=32000;2023=34000;2024=36000;2025=38000|Cripto:2021=10000;2022=10000;2023=10000;2024=12000;2025=12000"
18,56-65,10k-20k,200k-1M,"2021=110000;2022=112000;2023=114000;2024=116000;2025=118000","Previdência;Renda Fixa","Previdência:2021=60000;2022=61000;2023=62000;2024=63000;2025=64000|Renda Fixa:2021=50000;2022=51000;2023=52000;2024=53000;2025=54000"
19,36-45,2k-5k,50k-200k,"2021=10000;2022=11000;2023=12500;2024=14000;2025=15500","Tesouro Direto;Ações","Tesouro Direto:2021=6000;2022=6500;2023=7000;2024=8000;2025=9000|Ações:2021=4000;2022=4500;2023=5500;2024=6000;2025=6500"
20,46-55,50k+,1M-5M,"2021=600000;2022=620000;2023=640000;2024=670000;2025=700000","Ações;Fundos Imobiliários;Renda Fixa","Ações:2021=300000;2022=320000;2023=340000;2024=370000;2025=400000|Fundos Imobiliários:2021=200000;2022=200000;2023=200000;2024=200000;2025=200000|Renda Fixa:2021=100000;2022=100000;2023=100000;2024=100000;2025=100000"
21,26-35,5k-10k,50k-200k,"2021=14000;2022=15000;2023=16500;2024=18000;2025=19500","Ações;Tesouro Direto","Ações:2021=8000;2022=9000;2023=10000;2024=11000;2025=12000|Tesouro Direto:2021=6000;2022=6000;2023=6500;2024=7000;2025=7500"
22,18-25,2k-5k,<50k,"2021=3000;2022=4500;2023=6000;2024=8000;2025=11000","Cripto;Tesouro Direto","Cripto:2021=1000;2022=2000;2023=3000;2024=5000;2025=8000|Tesouro Direto:2021=2000;2022=2500;2023=3000;2024=3000;2025=3000"
23,56-65,20k-50k,1M-5M,"2021=210000;2022=215000;2023=220000;2024=225000;2025=230000","Previdência;Fundos Imobiliários","Previdência:2021=110000;2022=112000;2023=114000;2024=116000;2025=118000|Fundos Imobiliários:2021=100000;2022=103000;2023=106000;2024=109000;2025=112000"
24,36-45,10k-20k,200k-1M,"2021=45000;2022=47000;2023=49000;2024=51000;2025=53000","Ações;Renda Fixa","Ações:2021=25000;2022=26000;2023=28000;2024=30000;2025=32000|Renda Fixa:2021=20000;2022=21000;2023=21000;2024=21000;2025=21000"
25,46-55,5k-10k,50k-200k,"2021=26000;2022=27000;2023=28000;2024=29000;2025=30000","Tesouro Direto;Renda Fixa","Tesouro Direto:2021=13000;2022=13500;2023=14000;2024=14500;2025=15000|Renda Fixa:2021=13000;2022=13500;2023=14000;2024=14500;2025=15000"
26,26-35,20k-50k,200k-1M,"2021=100000;2022=105000;2023=110000;2024=120000;2025=130000","Ações;Cripto;Fundos Imobiliários","Ações:2021=60000;2022=63000;2023=66000;2024=72000;2025=80000|Cripto:2021=10000;2022=12000;2023=14000;2024=16000;2025=18000|Fundos Imobiliários:2021=30000;2022=30000;2023=30000;2024=32000;2025=32000"
27,65+,2k-5k,50k-200k,"2021=40000;2022=41000;2023=42000;2024=43000;2025=44000","Renda Fixa;Tesouro Direto","Renda Fixa:2021=25000;2022=25500;2023=26000;2024=26500;2025=27000|Tesouro Direto:2021=15000;2022=15500;2023=16000;2024=16500;2025=17000"
28,36-45,10k-20k,200k-1M,"2021=52000;2022=54000;2023=56000;2024=59000;2025=62000","Ações;Fundos Imobiliários","Ações:2021=30000;2022=32000;2023=34000;2024=37000;2025=40000|Fundos Imobiliários:2021=22000;2022=22000;2023=22000;2024=22000;2025=22000"
29,26-35,5k-10k,50k-200k,"2021=16000;2022=17000;2023=18500;2024=20000;2025=21500","Tesouro Direto;Ações;Cripto","Tesouro Direto:2021=7000;2022=7500;2023=8000;2024=9000;2025=10000|Ações:2021=7000;2022=7500;2023=9000;2024=9500;2025=10500|Cripto:2021=2000;2022=2000;2023=1500;2024=1500;2025=0"
30,46-55,20k-50k,1M-5M,"2021=250000;2022=255000;2023=260000;2024=270000;2025=280000","Ações;Previdência;Renda Fixa","Ações:2021=120000;2022=125000;2023=130000;2024=140000;2025=150000|Previdência:2021=80000;2022=82000;2023=84000;2024=86000;2025=88000|Renda Fixa:2021=50000;2022=48000;2023=46000;2024=44000;2025=42000"
